location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,number
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,2.533405172
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,2.454873031
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,2.283744209
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,2.441375332
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,2.55790127
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,2.66262111
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.661129568
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,1.769572724
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,1.732671245
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,1.903039437
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,1.53125259
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,1.655920911
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,1.700551876
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,1.893004587
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,1.65349087
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,1.81499635
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,1.704900938
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,1.720581897
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,1.479651163
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,1.703188342
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1.630141458
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1.771136684
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,1.8361009
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,1.819576129
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,1.759829186
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,1.787352941
CHN,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,1.803278689
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.176470588
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,1.379310345
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,1.608
ZAF,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,1.540229885
